delay,,condition,key_resp.rt,,expected,,unexpected
0.4,,unexp,0.0798584,,,,
0.4,,unexp,0.6442696,,,,
0.7,,unexp,0.3509406,,,,
0.7,,unexp,0.486737,,,,
0.7,,unexp,0.7733619,,,,
0.7,,unexp,0.3172556,,,,
0.7,,unexp,0.5166436,,,,
0.7,,unexp,0.5686694,,,,
0.7,,unexp,0.4088028,,,,
0.7,,unexp,0.4276809,,,,
0.7,,unexp,0.3867066,,,,
0.7,,unexp,0.3170865,,,,
0.7,,unexp,0.7160235,,,,
0.7,,unexp,0.5902336,,,,
0.7,,unexp,0.4751336,,,,
0.7,,unexp,0.3924984,,,,
0.7,,unexp,0.4181984,,,,
0.7,,unexp,0.8683204,,,,
0.7,,unexp,0.3601673,,,,
0.7,,unexp,0.8955321,,,,
0.7,,unexp,0.4163771,,,,
0.7,,unexp,0.4872237,,,,
0.7,,unexp,0.2833112,,,,
0.7,,unexp,0.3412362,,,,
0.7,,unexp,0.6896398,,,,
0.7,,unexp,0.8872469,,,,
0.7,,unexp,0.2591899,,,,
0.7,,unexp,1.5340548,,,,
0.7,,unexp,0.330494,,,,
0.7,,unexp,2.6943585,,,,
0.7,,unexp,1.8548349,,,,
0.7,,unexp,1.3963735,,,,
0.7,,unexp,1.8548349,,,,
